Query,Passage,Method,Judge_1,Judge_2,Judge_3,Final
mariah-carey-place-of-birth-huntington.txt,"...  Greenlawn, New York:    Famous residents:  The pop singer Mariah Carey grew up in Greenlawn.  She attended, and graduated from Harborfields High School.   Jeff Hawkins, born in 1957 in Huntington, New York, and who graduated from Harborfields High School in 1975, is the founder of Palm Computing where he invented the Palm Pilot, and Handspring where he invented the Treo....",proposed,relevant,partial,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Make It Happen :   Intro ""Make It Happen"" is a song by American singer and songwriter Mariah Carey.  Written and produced by Carey and C+C Music Factorys David Cole  and Robert Clivillés, it was released on April nbsp;4, 1992, by Columbia Records as the third single from her second studio album, Emotions  .  The pop  -, R B  -, and dance  -influenced track incorporates traces of gospel  in its bridge  and crescendo....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...The songs music video was filmed by Diane Martel in Copake, NY in upstate New York during August nbsp;1993.  It features a cameo appearance by Careys dog Jack, and shows her frolicking through a flowerbed and field, swimming in a large pond, boarding a hot air balloon, and dancing alongside several shirtless male dancers.  According to author Chris Nickson, the videos carefree setting harmonized well with the songs soft instrumentation....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...The album produced four chart-topping singles in the US and began what would become a string of commercially successful albums which solidified the singer as Columbia  s highest selling act.  Carey and Boyz II Men spent a record sixteen weeks atop the Billboard Hot 100  in 1995–1996 with ""One Sweet Day"", which remains the longest-running number-one song in US chart history  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...Written and produced by Carey and C+C Music Factorys David Cole  and Robert Clivillés, it was released on April nbsp;4, 1992, by Columbia Records as the third single from her second studio album, Emotions  .  The pop  -, R B  -, and dance  -influenced track incorporates traces of gospel  in its bridge  and crescendo.  Described by author Chris Nickson as Careys most personal and inspirational song  }} ""), it tells of her personal struggles prior to her rise to fame, and how her faith in God helped sustain her....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Huntington, New York:    Notable people:   Brown, former Lieutenant Governor of Maryland Edwin G.  Burrows, won 1999 Pulitzer Prize for History for the book Gotham: A History of New York City to 1898  Greg Buttle, former NFL football  player for the New York Jets Peter Calandra, Broadway, movie, and television pianist/composer  Mariah Carey, singer-songwriter, born and raised in urban neighborhoods Harry Chapin, singer-songwriter and humanitarian John Coltrane  , famed jazz saxophonist and composer, who lived in Dix Hills during the last years of his life Gerry Cooney, former heavyweight boxer Bob Costas, sportscaster Anthony Cumia, former co-host of XM Satellite Radio program Opie and Anthony, current host of The Anthony Cumia Show Cornelius H.  DeLamater, industrialist, and owner of Eatons Neck Alice G....",proposed,relevant,relevant,relevant,relevant
mariah-carey-place-of-birth-huntington.txt,"...The Census Bureau has also defined a census-designated place  with the same name that corresponds to the most densely populated area, however local understanding of the hamlet may differ somewhat from the census definition. The aggregate demographic and geographic data for the hamlet is also included in the data for the Town of Huntington.  The population was 18,406 at the 2010 census....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Mariah Carey:    Early life:  Mariah Carey was born in Huntington, New York, to Patricia  and Alfred Roy Carey.  Her mother is of Irish descent, while her father had African-American and Afro-Venezuelan ancestry.  The surname ""Carey"" was adopted by her Venezuelan grandfather, Francisco Núñez, after immigrating to New York....",proposed,relevant,relevant,relevant,relevant
mariah-carey-place-of-birth-huntington.txt,"...The album produced four chart-topping singles in the US and began what would become a string of commercially successful albums which solidified the singer as Columbia  s highest selling act.  Carey and Boyz II Men spent a record sixteen weeks atop the Billboard Hot 100  in 1995–1996 with ""One Sweet Day"", which remains the longest-running number-one song in US chart history  ....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Huntington , New York:    Famous residents:  Huntington is the birthplace of American poets Walt Whitman and Jupiter Hammon, aerospace pioneer Leroy Grumman, singer Mariah Carey, and actor Ralph Macchio. Other public figures who have resided in Huntington include: Fiorello La Guardia, Leon Friedman, Otto Kahn, William K. ...",proposed,relevant,relevant,relevant,relevant
mariah-carey-place-of-birth-huntington.txt,"...  Make It Happen :   Intro ""Make It Happen"" is a song by American singer and songwriter Mariah Carey.  Written and produced by Carey and C+C Music Factorys David Cole  and Robert Clivillés, it was released on April nbsp;4, 1992, by Columbia Records as the third single from her second studio album, Emotions  .  The pop  -, R B  -, and dance  -influenced track incorporates traces of gospel  in its bridge  and crescendo....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...S.  TV series) }} , as well as Careys Rainbow   and Charmbracelet World Tours  . Background According to Carey, writing ""Cant Take That Away "" helped her get through rough emotional moments with her labels management, and even times when she felt overwhelmed by others.  During the early stages of the album, Carey said she felt pressured to complete the Rainbow album as quickly as possible, due to the fact that it was the last album under her contract with Columbia  ....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...S.  TV series) }} , as well as Careys Rainbow   and Charmbracelet World Tours  . Background According to Carey, writing ""Cant Take That Away "" helped her get through rough emotional moments with her labels management, and even times when she felt overwhelmed by others.  During the early stages of the album, Carey said she felt pressured to complete the Rainbow album as quickly as possible, due to the fact that it was the last album under her contract with Columbia  ....",baseline,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Mariah Carey:   Intro | children = 2| website = | module = }}Mariah Carey  is an American singer, songwriter, record producer, and actress.  In 1990, Carey rose to fame with the release of ""Vision of Love"" from her eponymous debut album  .  The album produced four chart-topping singles in the US and began what would become a string of commercially successful albums which solidified the singer as Columbia  s highest selling act....",baseline_with_expansion,non-relevant,non-relevant,non-relevant,non-relevant
mariah-carey-place-of-birth-huntington.txt,"...  Music of Long Island:    Pop:   For example, superstar diva Mariah Carey was born and raised in Huntington  in Suffolk County.  R B singer Ashanti  grew up in Glen Cove  .  Lou Reed grew up in Freeport, Paris-based singer-songwriter Elliott Murphy was raised in Garden City  ....",proposed,relevant,relevant,relevant,relevant
mariah-carey-spouse-nick-cannon.txt,"...  Hero :    Live performances:   On June 5, 2010, Carey performed the song alongside ""We Belong Together  "" at the Walmart shareholders meeting.  Following the performance, Carey gained heavy media coverage for her apparent weight gain, leading many to suspect her pregnancy with husband Nick Cannon.  Aside from the several live televised performances, Carey included ""Hero"" on the set-lists on all of her tours, usually serving as one of the closing numbers....",proposed,relevant,relevant,relevant,relevant
